word;attributes

#(\d+);number:\1

(\d+)[.](zwischenbericht);document-type:report+report-volume:\1

(\d+)(st|nd|rd|th);volume:\1

(2013|2014|2015|2016|2017);year:\1

\d+([.]\d+)*

abschlussbericht;document-type:report
abschlusshandbuch;document-type:handbuch
abschlussveranstaltung;event-type:abschlussveranstaltung

abwassersystem;subject:abwassersystem

acueducto

administration;

alliance

and

andere-projekte;project:others

anfragen

ap\d;work-package:\1

aquaurbanica(\d{4});conference-name:AquaUrbanica+conference-year:\1

austausch

berlin;city:Berlin
bogota;city:Bogota
braunschweig;city:Braunschweig

bestellungen

betrachtung

biofilm-monitoring

bmbf;funder:BMBF
bmbf-guidelines

book

budget
calendar

cc

(hauke|michael|clara);kwb-editor:\1

closure

collaboration

communication

comparison
conference
contracts

correspondence-letters

d111

data
data-analysis
daten
datenmanagement
datenvorbereitung

demo\d*

details

docs
draft
ehemalig

enoses

evaluation
events

exchange

external-communication
external-docs

feedback

filmprojekt

final

first-flush

flyer

forum

frachtmodellierung;subject:modelling
fu
grundwasser
homepage
info-grafik
inis
inis-austausch
investment-information
isoproturon
jahresbericht
job-descriptions

julia;kwb-editor:Julia
kabbe;kwb-editor:Christian Kabbe

kern-ergebnisse
kommunikation
kosten-nutzen
kuras-methode

kwb;partner:KWB

lca;subject:life-cycle-assessment

leadership
leitfaden
linerundsanierungen

literatur(e|listen)?;document-type:literature

logos;document-type:image

malte;kwb-editor:Malte

managers

massnahmeneffekte
massnahmenkatalog
massnahmensteckbriefe

materials

meetings

memos?;document-type:memo

methodik

minutes;document-type:minutes

modellierung;subject:modelling
monitoring;subject:monitoring

montbeliard;city:Montbeliard

ms-project;software:ms-project

nathalie;kwb-editor:Nathalie Hernandez

oberflaechenwasser;subject:surface-water

oekostadtplan
.e?kobilanz;topic:life-cycle-assessment
.e?konomische;topic:economics

[^p][^r]ogre;project:ogre
ogre.data

organization

other

paper

partner

periodic-reports;document-type:periodic-report

pics|pictures;media-type:image

plans
pmt

positionspapier;document-type

posters?;document-type:poster

powerpoint|ppt;document-type:presentation;document-format:powerpoint

praesi;document-type:presentation

praxis-empfehlungen

prepared

preproposal;project-phase

presentations?

progress-report;document-type:progress-report

project-controlling;project-phase:controlling
project-development;project-phase:development
project-review;project-phase:review

projektspezifisch

proposal;project-phase:proposal

proposal-for-extension-for

provided-software;file-type:software

publications?

raw;quality:raw

related-docs

report(ing|s)?;document-type:report

results

rewamnet;meta-project:rewamnet

rrdb

schlussbericht;document-type:schlussbericht

scopus-recherche

senat;partner:senat-berlin

senstadtum;partner:senstadtum

session

sofia;city:Sofia

sozio;topic:sociology

stakeholder

state-of-the-art

statistische-analyse

status-quo

steckbriefe

subtask

synthesebericht;document-type:synthesebericht

tabellen

task

templates

thesis;document-type:thesis

todo-list;document-type

tp\d+

ts

und

usb-drive;source-medium:USB

utility

validation-tool

vernetzungsvorhaben;meta-project

vorarbeiten;project-phase:preparation

wa\d*

wolfgang;kwb-editor:\1

work-packages

wp-organisation
wp(\d+);work-package-number:\1

zusammenfuehrung

zwischenberichte?;report-type:intermediate-report
